iso1,iso2,group,community
-13.8,6.1,1,1
-14.1,5.7,1,1
-15.4,5.2,1,1
-15.1,4.6,1,1
-16.6,4.7,1,1
-18,5.1,1,1
-17.3,3,1,1
-17.6,3,1,1
-15.9,2.7,1,1
-17.3,3,1,1
-16.8,3.1,1,1
-14.6,3.2,1,1
-16.3,2.1,1,1
-15.6,2.9,1,1
-13.7,2.9,1,1
-14.3,3.2,1,1
-14.6,3.5,1,1
-17.1,4.1,2,1
-15.6,3.1,2,1
-16.8,2.9,2,1
-15,3.1,2,1
-14.9,3.2,2,1
-16.2,3.4,2,1
-14.3,3.8,2,1
-14.5,4.5,2,1
-14,4.4,2,1
-14.6,4.4,2,1
-13.8,3.8,2,1
-14,4.7,2,1
-12.8,2.4,2,1
-17,2.8,2,1
-13.5,3.2,2,1
-12.9,3.6,2,1
-13.8,3.2,2,1
-13.4,3.1,2,1
-14.2,3.3,2,1
-11.6,2.6,2,1
-12.7,3.9,2,1
-14.3,3.1,2,1
-12.7,3.5,2,1
-11.9,2.9,2,1
-16.7,4.4,3,1
-16.4,4.7,3,1
-18.5,4.4,3,1
-15.5,5,3,1
-15.4,4.4,3,1
-17.3,4.3,3,1
-17.2,4.5,3,1
-16.7,4.3,3,1
-16.3,4.7,3,1
-15.1,4,3,1
-15.4,3.3,3,1
-16.1,3.7,3,1
-16,4.6,3,1
-13.8,5.1,3,1
-15.4,4.6,3,1
-13.9,4.6,3,1
-15.2,4.2,3,1
-13.9,3.9,3,1
-13.9,3.5,3,1
-13.5,4,3,1
-14.8,3.5,3,1
-13.2,4.1,3,1
-13.4,3.5,3,1
-15.2,3.9,3,1
-15.3,3.7,3,1
-14,4.2,3,1
-14.4,3.5,3,1
-12.2,2.5,3,1
-11.7,3.1,3,1
-14.4,6.8,3,1
-15.6,6.9,3,1
-15.1,5.9,3,1
-14.5,6.5,3,1
-14,6.6,3,1
-14.5,8.1,3,1
-15.5,6.7,3,1
-15.5,5.9,3,1
-15.8,6.3,3,1
-15.4,6,3,1
-13.7,6.4,3,1
-15,6.6,3,1
-15.6,5.5,3,1
-19,3,4,1
-19.5,3.6,4,1
-18.3,4,4,1
-17.6,4.3,4,1
-18.2,4,4,1
-20.1,3.8,4,1
-15.1,4.6,4,1
-15.8,4.2,4,1
-15.6,3.3,4,1
-17,4.3,4,1
-17.2,3.6,4,1
-16.8,4.2,4,1
-17.3,3.8,4,1
-16.3,3.6,4,1
-18.2,3.8,4,1
-15.5,3.2,4,1
-14.7,3.3,4,1
-15.8,3.3,4,1
-17.1,3,4,1
-15.1,3.3,4,1
-14.3,3.5,4,1
-13.8,4.4,4,1
-14.1,3.5,4,1
-18,6.1,4,1
-15,6.2,4,1
-13.9,5.7,4,1
-16.8,5.8,4,1
-17,6.1,4,1
-14.7,6.1,4,1
-14.9,5.6,4,1
-18.7,5.5,4,1
-16.2,5.2,4,1
-15.4,6.2,4,1
-17.7,3.9,4,1
-18.7,6.6,4,1
-19.1,3.6,5,1
-18.5,3.5,5,1
-18.5,3.4,5,1
-19.2,3.4,5,1
-18.5,3.5,5,1
-18.3,3.5,5,1
-18.3,3.6,5,1
-18.3,3.5,5,1
-19,3.6,5,1
-18.4,3.2,5,1
-17.6,3.4,5,1
-17.8,3.3,5,1
-19.3,3.4,5,1
-18.3,3.3,5,1
-17.6,3.5,5,1
-18.7,3.6,5,1
-18.5,3.2,5,1
-17.7,3.5,5,1
-17.8,3.2,5,1
-18.4,3.8,5,1
-17.8,3.4,5,1
-18.3,3.3,5,1
-18.3,3.4,5,1
-17.3,3.6,5,1
-17.9,3.6,5,1
-16.9,6.1,5,1
-16.2,6,5,1
-15.9,5.9,5,1
-18,5.1,5,1
-18.2,4.9,5,1
-18,5.3,5,1
-19.5,4.8,5,1
-19.2,4.9,5,1
-18.8,4.9,5,1
-17.6,5,5,1
-19.7,4.3,5,1
-18.9,4.4,5,1
-20.3,5.9,6,1
-21,6.6,6,1
-21.1,6.5,6,1
-21.2,6.5,6,1
-21.7,6.7,6,1
-21.4,6.6,6,1
-21.6,7.3,6,1
-21.6,6.9,6,1
-22,7.4,6,1
-21.4,7.3,6,1
-20.8,9.2,6,1
-20.8,9.5,6,1
-20.6,9.1,6,1
-21,9.1,6,1
-20.7,9.6,6,1
-20.3,9.6,6,1
-20.9,7.9,6,1
-20.7,8,6,1
-20.9,8.7,6,1
-20.7,9.1,6,1
-19.5,8.5,6,1
-21.5,8.8,6,1
-21.3,8.9,6,1
